filepath,testclass,testname,line number,assert string
tests\test_async.py,,test_async_error_handler,94,assert response.status_code == 412
tests\test_async.py,,test_async_route,85,assert b'GET' in response.get_data()
tests\test_async.py,,test_async_route,87,assert b'POST' in response.get_data()
tests\test_basic.py,,expect,559,assert len(rv.headers.get_all('Vary')) == 1
tests\test_basic.py,,expect,560,assert rv.headers['Vary'] == header_value
tests\test_basic.py,,expect,562,assert 'Vary' not in rv.headers
tests\test_basic.py,,expect_exception,366,assert e.value.args and 'session is unavailable' in e.value.args[0]
tests\test_basic.py,,get,246,assert not flask.session.accessed
tests\test_basic.py,,get,247,assert not flask.session.modified
tests\test_basic.py,,get,249,assert flask.session.accessed
tests\test_basic.py,,get,250,assert not flask.session.modified
tests\test_basic.py,,handle_403,971,"assert not isinstance(e, ForbiddenSubclass)"
tests\test_basic.py,,handle_403,972,"assert isinstance(e, Forbidden)"
tests\test_basic.py,,handle_forbidden_subclass,966,"assert isinstance(e, ForbiddenSubclass)"
tests\test_basic.py,,handle_my_exception,950,"assert isinstance(e, MyException)"
tests\test_basic.py,,handler,1384,"assert values == {'_external': False, '_anchor': None, '_method': None, '_scheme': None}"
tests\test_basic.py,,index,696,assert 'before' in evts
tests\test_basic.py,,index,697,assert 'after' not in evts
tests\test_basic.py,,run_simple_mock,1886,assert hostname == expect_host
tests\test_basic.py,,run_simple_mock,1887,assert port == expect_port
tests\test_basic.py,,run_test,487,assert c.get('/bump').data == b'1'
tests\test_basic.py,,run_test,488,assert c.get('/bump').data == b'2'
tests\test_basic.py,,run_test,489,assert c.get('/bump').data == b'3'
tests\test_basic.py,,run_test,493,assert (set_cookie is not None) == expect_header
tests\test_basic.py,,run_test,494,assert rv.data == b'3'
tests\test_basic.py,,set,237,assert not flask.session.accessed
tests\test_basic.py,,set,238,assert not flask.session.modified
tests\test_basic.py,,set,240,assert flask.session.accessed
tests\test_basic.py,,set,241,assert flask.session.modified
tests\test_basic.py,,teardown_request1,790,assert type(exc) is ZeroDivisionError
tests\test_basic.py,,teardown_request2,802,assert type(exc) is ZeroDivisionError
tests\test_basic.py,,test,617,"assert list(messages) == ['Hello World', 'Hello World', Markup('<em>Testing</em>')]"
tests\test_basic.py,,test_after_request_processing,744,assert resp.status_code == 200
tests\test_basic.py,,test_after_request_processing,745,assert resp.headers['X-Foo'] == 'a header'
tests\test_basic.py,,test_app_freed_on_zero_refcount,1931,assert app.view_functions['static']
tests\test_basic.py,,test_app_freed_on_zero_refcount,1933,assert weak() is not None
tests\test_basic.py,,test_app_freed_on_zero_refcount,1935,assert weak() is None
tests\test_basic.py,,test_before_after_request_order,856,assert rv.data == b'42'
tests\test_basic.py,,test_before_after_request_order,857,"assert called == [1, 2, 3, 4, 5, 6]"
tests\test_basic.py,,test_before_request_and_routing_errors,940,assert rv.status_code == 404
tests\test_basic.py,,test_before_request_and_routing_errors,941,assert rv.data == b'value'
tests\test_basic.py,,test_build_error_handler,1367,assert flask.url_for('spam') == '/test_handler/'
tests\test_basic.py,,test_enctype_debug_helper,1111,assert 'no file contents were transmitted' in str(e.value)
tests\test_basic.py,,test_enctype_debug_helper,1112,"assert ""This was submitted: 'index.txt'"" in str(e.value)"
tests\test_basic.py,,test_endpoint_decorator,230,assert client.get('/foo/').data == b'index'
tests\test_basic.py,,test_endpoint_decorator,231,assert client.get('/foo/bar').data == b'bar'
tests\test_basic.py,,test_error_handler_after_processor_error,1096,assert rv.status_code == 500
tests\test_basic.py,,test_error_handler_after_processor_error,1097,assert rv.data == b'Hello Server Error'
tests\test_basic.py,,test_error_handling,888,assert rv.status_code == 404
tests\test_basic.py,,test_error_handling,889,assert rv.data == b'not found'
tests\test_basic.py,,test_error_handling,891,assert rv.status_code == 500
tests\test_basic.py,,test_error_handling,892,assert b'internal server error' == rv.data
tests\test_basic.py,,test_error_handling,894,assert rv.status_code == 403
tests\test_basic.py,,test_error_handling,895,assert b'forbidden' == rv.data
tests\test_basic.py,,test_error_handling_processing,915,assert resp.mimetype == 'text/x-special'
tests\test_basic.py,,test_error_handling_processing,916,assert resp.data == b'internal server error'
tests\test_basic.py,,test_errorhandler_precedence,1019,assert rv.data == b'Exception'
tests\test_basic.py,,test_errorhandler_precedence,1022,assert rv.data == b'E2'
tests\test_basic.py,,test_exception_propagation,1588,assert client.get('/').status_code == 500
tests\test_basic.py,,test_extended_flashing,617,"assert list(messages) == ['Hello World', 'Hello World', Markup('<em>Testing</em>')]"
tests\test_basic.py,,test_extended_flashing,627,assert len(messages) == 3
tests\test_basic.py,,test_extended_flashing,628,"assert list(messages) == [('message', 'Hello World'), ('error', 'Hello World'), ('warning', Markup('<em>Testing</em>'))]"
tests\test_basic.py,,test_extended_flashing,640,"assert list(messages) == [('message', 'Hello World')]"
tests\test_basic.py,,test_extended_flashing,648,"assert list(messages) == [('message', 'Hello World'), ('warning', Markup('<em>Testing</em>'))]"
tests\test_basic.py,,test_extended_flashing,657,assert len(messages) == 2
tests\test_basic.py,,test_extended_flashing,658,assert messages[0] == 'Hello World'
tests\test_basic.py,,test_extended_flashing,659,assert messages[1] == Markup('<em>Testing</em>')
tests\test_basic.py,,test_filter,640,"assert list(messages) == [('message', 'Hello World')]"
tests\test_basic.py,,test_filters,648,"assert list(messages) == [('message', 'Hello World'), ('warning', Markup('<em>Testing</em>'))]"
tests\test_basic.py,,test_filters2,657,assert len(messages) == 2
tests\test_basic.py,,test_filters2,658,assert messages[0] == 'Hello World'
tests\test_basic.py,,test_filters2,659,assert messages[1] == Markup('<em>Testing</em>')
tests\test_basic.py,,test_flashes,592,assert not flask.session.modified
tests\test_basic.py,,test_flashes,596,assert flask.session.modified
tests\test_basic.py,,test_flashes,597,"assert list(flask.get_flashed_messages()) == ['Zap', 'Zip']"
tests\test_basic.py,,test_g_iteration_protocol,1742,assert 'foo' in flask.g
tests\test_basic.py,,test_g_iteration_protocol,1743,assert 'foos' not in flask.g
tests\test_basic.py,,test_g_iteration_protocol,1744,"assert sorted(flask.g) == ['bar', 'foo']"
tests\test_basic.py,,test_get_method_on_g,1732,assert flask.g.get('x') is None
tests\test_basic.py,,test_get_method_on_g,1733,"assert flask.g.get('x', 11) == 11"
tests\test_basic.py,,test_get_method_on_g,1735,assert flask.g.get('x') == 42
tests\test_basic.py,,test_get_method_on_g,1736,assert flask.g.x == 42
tests\test_basic.py,,test_http_error_subclass_handling,966,"assert isinstance(e, ForbiddenSubclass)"
tests\test_basic.py,,test_http_error_subclass_handling,971,"assert not isinstance(e, ForbiddenSubclass)"
tests\test_basic.py,,test_http_error_subclass_handling,972,"assert isinstance(e, Forbidden)"
tests\test_basic.py,,test_http_error_subclass_handling,987,assert client.get('/1').data == b'banana'
tests\test_basic.py,,test_http_error_subclass_handling,988,assert client.get('/2').data == b'apple'
tests\test_basic.py,,test_http_error_subclass_handling,989,assert client.get('/3').data == b'apple'
tests\test_basic.py,,test_inject_blueprint_url_defaults,1654,assert values == expected
tests\test_basic.py,,test_inject_blueprint_url_defaults,1659,assert url == expected
tests\test_basic.py,,test_json_dump_dataclass,1323,assert value == {'name': 'Flask'}
tests\test_basic.py,,test_jsonify_args_and_kwargs_check,1329,assert 'args or kwargs' in str(e.value)
tests\test_basic.py,,test_jsonify_mimetype,1314,assert rv.mimetype == 'application/vnd.api+json'
tests\test_basic.py,,test_jsonify_no_prettyprint,1306,assert (b' ' not in data) is compact
tests\test_basic.py,,test_jsonify_no_prettyprint,1307,assert (b'\n' not in data) is compact
tests\test_basic.py,,test_make_response,1260,assert rv.status_code == 200
tests\test_basic.py,,test_make_response,1261,assert rv.data == b''
tests\test_basic.py,,test_make_response,1262,assert rv.mimetype == 'text/html'
tests\test_basic.py,,test_make_response,1265,assert rv.status_code == 200
tests\test_basic.py,,test_make_response,1266,assert rv.data == b'Awesome'
tests\test_basic.py,,test_make_response,1267,assert rv.mimetype == 'text/html'
tests\test_basic.py,,test_make_response,1270,assert rv.status_code == 404
tests\test_basic.py,,test_make_response,1271,assert rv.data == b'W00t'
tests\test_basic.py,,test_make_response,1272,assert rv.mimetype == 'text/html'
tests\test_basic.py,,test_make_response,1275,assert rv.status_code == 200
tests\test_basic.py,,test_make_response,1276,assert rv.data == b'Hello'
tests\test_basic.py,,test_make_response,1277,assert rv.mimetype == 'text/html'
tests\test_basic.py,,test_make_response_with_response_instance,1282,assert rv.status_code == 400
tests\test_basic.py,,test_make_response_with_response_instance,1283,"assert rv.data == b'{""msg"":""W00t""}\n'"
tests\test_basic.py,,test_make_response_with_response_instance,1284,assert rv.mimetype == 'application/json'
tests\test_basic.py,,test_make_response_with_response_instance,1287,assert rv.status_code == 400
tests\test_basic.py,,test_make_response_with_response_instance,1288,assert rv.data == b''
tests\test_basic.py,,test_make_response_with_response_instance,1289,assert rv.mimetype == 'text/html'
tests\test_basic.py,,test_make_response_with_response_instance,1296,assert rv.status_code == 400
tests\test_basic.py,,test_make_response_with_response_instance,1297,assert rv.headers['Content-Type'] == 'text/html'
tests\test_basic.py,,test_make_response_with_response_instance,1298,assert rv.headers['X-Foo'] == 'bar'
tests\test_basic.py,,test_max_cookie_size,1901,assert response.max_cookie_size == default
tests\test_basic.py,,test_max_cookie_size,1905,assert flask.Response().max_cookie_size == 100
tests\test_basic.py,,test_max_cookie_size,1914,assert len(recwarn) == 1
tests\test_basic.py,,test_max_cookie_size,1916,assert 'cookie is too large' in str(w.message)
tests\test_basic.py,,test_max_cookie_size,1921,assert len(recwarn) == 0
tests\test_basic.py,,test_method_route,62,assert client_method('/').data == b'Hello'
tests\test_basic.py,,test_missing_session,366,assert e.value.args and 'session is unavailable' in e.value.args[0]
tests\test_basic.py,,test_missing_session,369,assert flask.session.get('missing_key') is None
tests\test_basic.py,,test_multi_route_class_views,1840,assert rv.data == b'a'
tests\test_basic.py,,test_multi_route_class_views,1842,assert rv.data == b'b'
tests\test_basic.py,,test_multi_route_rules,1824,assert rv.data == b'a'
tests\test_basic.py,,test_multi_route_rules,1826,assert rv.data == b'b'
tests\test_basic.py,,test_no_setup_after_first_request,1678,assert client.get('/').data == b'Awesome'
tests\test_basic.py,,test_no_setup_after_first_request,1683,"assert ""setup method 'add_url_rule'"" in str(exc_info.value)"
tests\test_basic.py,,test_nonascii_pathinfo,1668,assert rv.data == b'Hello World!'
tests\test_basic.py,,test_options_on_multiple_rules,50,"assert sorted(rv.allow) == ['GET', 'HEAD', 'OPTIONS', 'POST', 'PUT']"
tests\test_basic.py,,test_options_work,36,"assert sorted(rv.allow) == ['GET', 'HEAD', 'OPTIONS', 'POST']"
tests\test_basic.py,,test_options_work,37,assert rv.data == b''
tests\test_basic.py,,test_provide_automatic_options_attr,79,assert rv.status_code == 405
tests\test_basic.py,,test_provide_automatic_options_attr,89,assert sorted(rv.allow) == ['OPTIONS']
tests\test_basic.py,,test_provide_automatic_options_kwarg,106,assert client.get('/').data == b'GET'
tests\test_basic.py,,test_provide_automatic_options_kwarg,109,assert rv.status_code == 405
tests\test_basic.py,,test_provide_automatic_options_kwarg,110,"assert sorted(rv.allow) == ['GET', 'HEAD']"
tests\test_basic.py,,test_provide_automatic_options_kwarg,113,assert rv.status_code == 405
tests\test_basic.py,,test_provide_automatic_options_kwarg,116,assert rv.status_code == 200
tests\test_basic.py,,test_provide_automatic_options_kwarg,117,assert not rv.data
tests\test_basic.py,,test_provide_automatic_options_kwarg,118,assert client.post('/more').data == b'POST'
tests\test_basic.py,,test_provide_automatic_options_kwarg,119,assert client.get('/more').data == b'GET'
tests\test_basic.py,,test_provide_automatic_options_kwarg,122,assert rv.status_code == 405
tests\test_basic.py,,test_provide_automatic_options_kwarg,123,"assert sorted(rv.allow) == ['GET', 'HEAD', 'POST']"
tests\test_basic.py,,test_provide_automatic_options_kwarg,126,assert rv.status_code == 405
tests\test_basic.py,,test_request_dispatching,138,assert client.get('/').data == b'GET'
tests\test_basic.py,,test_request_dispatching,140,assert rv.status_code == 405
tests\test_basic.py,,test_request_dispatching,141,"assert sorted(rv.allow) == ['GET', 'HEAD', 'OPTIONS']"
tests\test_basic.py,,test_request_dispatching,143,assert rv.status_code == 200
tests\test_basic.py,,test_request_dispatching,144,assert not rv.data
tests\test_basic.py,,test_request_dispatching,145,assert client.post('/more').data == b'POST'
tests\test_basic.py,,test_request_dispatching,146,assert client.get('/more').data == b'GET'
tests\test_basic.py,,test_request_dispatching,148,assert rv.status_code == 405
tests\test_basic.py,,test_request_dispatching,149,"assert sorted(rv.allow) == ['GET', 'HEAD', 'OPTIONS', 'POST']"
tests\test_basic.py,,test_request_locals,1483,assert repr(flask.g) == '<LocalProxy unbound>'
tests\test_basic.py,,test_request_locals,1484,assert not flask.g
tests\test_basic.py,,test_request_preprocessing_early_return,729,assert rv == b'hello'
tests\test_basic.py,,test_request_preprocessing_early_return,730,"assert evts == [1, 2]"
tests\test_basic.py,,test_request_processing,696,assert 'before' in evts
tests\test_basic.py,,test_request_processing,697,assert 'after' not in evts
tests\test_basic.py,,test_request_processing,700,assert 'after' not in evts
tests\test_basic.py,,test_request_processing,702,assert 'after' in evts
tests\test_basic.py,,test_request_processing,703,assert rv == b'request|after'
tests\test_basic.py,,test_response_type_errors,1238,assert 'returned None' in str(e.value)
tests\test_basic.py,,test_response_type_errors,1239,assert 'from_none' in str(e.value)
tests\test_basic.py,,test_response_type_errors,1244,assert 'tuple must have the form' in str(e.value)
tests\test_basic.py,,test_response_type_errors,1252,assert 'it was a bool' in str(e.value)
tests\test_basic.py,,test_response_types,1165,assert client.get('/text').data == 'Hällo Wörld'.encode()
tests\test_basic.py,,test_response_types,1166,assert client.get('/bytes').data == 'Hällo Wörld'.encode()
tests\test_basic.py,,test_response_types,1169,assert rv.data == b'Meh'
tests\test_basic.py,,test_response_types,1170,assert rv.headers['X-Foo'] == 'Testing'
tests\test_basic.py,,test_response_types,1171,assert rv.status_code == 400
tests\test_basic.py,,test_response_types,1172,assert rv.mimetype == 'text/plain'
tests\test_basic.py,,test_response_types,1175,assert rv.data == b'Hello'
